id,name,emirate,curriculum,language_of_instruction,year_founded,government_rating,parent_reviews_count,annual_fees_aed,location_address,contact,website_listing_url,photo_url
102,Lycee Francais International Georges Pompidou,Dubai,French,French/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/lycee-francais-international-georges-pompidou-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
103,Lycee Francais International Georges Pompidou Oud-Metha,Dubai,French,French/English,Not listed,Not rated / no public inspection report,0,Not listed,Oud Metha,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/lycee-francais-international-georges-pompidou-oud-metha-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
104,Lycee Francais Jean Mermoz de Dubai,Dubai,French,French/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/lycee-francais-jean-mermoz-de-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
105,His Highness Shaikh Rashid Al Maktoum Pakistan School Dubai,Dubai,Pakistani,Urdu/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/shaikh-rashid-al-maktoum-pakistan-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
106,Pakistan Education Academy,Dubai,Pakistani,Urdu/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/pakistan-education-academy-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
107,The International School of Choueifat Dubai,Dubai,SABIS,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-international-school-of-choueifat-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
108,The International School of Choueifat DIP,Dubai,SABIS,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai Investment Park,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-international-school-of-choueifat-dip-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
109,Horizon International School (GCSE),Dubai,"IGCSE, GCSE, British",English,2008,Very Good (KHDA),22,55978,"Street 9A, Off Al Wasl Road, Umm Al Sheif",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/114286/horizon-international-school-dubai-uae-2/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
110,Grammar School Dubai,Dubai,"GCSE, British",English,1970,Acceptable (KHDA),24,6080,"Opp. Dubai Festival City, Al Garhoud Schools Area",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/114349/grammar-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
111,Dubai College,Dubai,"GCSE, British",English,1978,Outstanding (KHDA),14,103860,Al Sufouh Road,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/4445/dubai-college/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
112,Dubai British School Emirates Hills,Dubai,"IB, GCSE, British",English,2005,Outstanding (KHDA),11,66284,"Springs 3, Emirates Hills",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/544/dubai-british-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
113,Dubai British School Jumeirah Park,Dubai,"GCSE, British",English,2015,Outstanding (KHDA),7,73588,Al Warood St 1 Jumeirah Park,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/113938/dubai-british-school-jumeirah-park-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
114,Jebel Ali School,Dubai,"GCSE, British",English,1977,Very Good (KHDA),7,65910,"Jebel Ali School, Damac Hills",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/jebel-ali-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
115,Jumeirah College,Dubai,"GCSE, British",English,1999,Outstanding (KHDA),5,88814,Al Wasl Road,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/8543/jumeirah-college/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
116,PACE Springfield International School,Dubai,"UK EYFS, GCSE, British",English,2024,Not rated / no public inspection report,2,24000,Al Awir,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/springfield-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
117,Rashid School for Boys,Dubai,"MOE, GCSE","Arabic/English, English",1986,Not rated / no public inspection report,2,Not listed,Nad al Sheba,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/17130/rashid-school-for-boys/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
118,Pace Modern British School,Dubai,"UK EYFS, GCSE, British",English,Not listed,Acceptable (KHDA),1,22050,Rashidiya,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/pace-modern-british-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
119,United International Private School,Dubai,"MOE, Filipino","Arabic/English, Filipino/English",1992,Acceptable (KHDA),4,9567,Muhaisnah 4,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/29328/united-international-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
120,The Philippine School Dubai,Dubai,Filipino,Filipino/English,2008,Acceptable (KHDA),2,11369,Rashidiyah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/29329/phillippine-school-dubai/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
121,"GEMS Wellington Academy, Al Khail (Arabic)",Dubai,"British, Arabic","English, Arabic",2013,Very Good (KHDA),21,70743,"Dubai Hills, Al Khail",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/128992/gems-wellington-academy-arabic/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
122,Adab Iranian Private School,Dubai,"Islamic, IB, Arabic","Arabic/English, English, Arabic",1989,Good (KHDA),2,14079,"Behind Al-Bustan Center, Al Qusais 1",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/420/adab-iranian-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
123,GEMS Royal Dubai School (Special Needs),Dubai,"Special Needs, British",English,2005,Very Good (KHDA),20,57161,"Al Mizhar, 1 Mirdif",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/21633/gems-royal-dubai-school-2/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
124,Manzil Center,Dubai/Sharjah,Special Needs,English,2005,Not rated / no public inspection report,2,Not listed,"Office 505, Nastaran Building, Jadaf Waterfront",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/manzil-center-sharjah-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
125,Rashid Paediatric Therapy Centre,Dubai,Special Needs,English,1994,Not rated / no public inspection report,2,Not listed,"Al Barsha, behind Mall of the Emirates",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137465/rashid-paediatric-therapy-centre-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
126,"Australian International School, Dubai",Dubai,Australian,English,2021,Good (KHDA),9,68500,Al Barsha South,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/australian-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
127,German International School Dubai,Dubai,German,German/English,2008,Good (KHDA),6,55994,Academic City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/583/german-school-dubai/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
128,GEMS Founders School,Dubai,"NCfE, British",English,2016,Very Good (KHDA),15,30937,Al Barsha South,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-founders-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
129,Glendale International School,Dubai,"NCfE, British",English,2002,Not rated / no public inspection report,11,39840,"Umm Al Hurair, Oud Metha",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/glendale-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
130,The Apple International Community School,Dubai,"UK EYFS, NCfE, British",English,2021,Acceptable (KHDA),2,17200,Al Karama,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/apple-international-community-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
131,Reach British School Abu Dhabi,Abu Dhabi,British,English,2014,Good (ADEK),42,34800,Baniyas East,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112902/reach-british-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
132,The British International School Abu Dhabi,Abu Dhabi,"UK EYFS, IGCSE, IB, British",English,2009,Outstanding (ADEK),20,63898,"Behind Abu Dhabi University, off E22 Al Ain Road",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6388/british-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
133,Ajyal International School - MBZ,Abu Dhabi,British,English,2014,Very Good (ADEK),18,32292,Malaqit St - Mohamed Bin Zayed City - Z15,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/109625/ajyal-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
134,Aspen Heights British School (AHBS),Abu Dhabi,"IBDP, British",English,2017,Good (ADEK),12,51685,Al Bahya,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/aspen-heights-british-school-ahbs-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
135,GEMS Founders School – Masdar City (GFA),Abu Dhabi,"IGCSE, British",English,2024,Not rated / no public inspection report,10,30000,Masdar City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-founders-school-masdar-city-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
136,"GEMS World Academy, Abu Dhabi",Abu Dhabi,"IB, British",English,2011,Very Good (ADEK),10,64655,"Najmat, Al Reem Island",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/21623/gems-world-academy-abu-dhabi/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
137,Repton School Abu Dhabi,Abu Dhabi,British,English,2013,Very Good (ADEK),8,65455,"Shams Abu Dhabi, Reem Island",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/93730/repton-school-abu-dhabi/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
138,Nord Anglia International School Abu Dhabi,Abu Dhabi,"UK EYFS, IGCSE, British",English,2023,Not rated / no public inspection report,6,63750,Al Reem Island,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/nord-anglia-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
139,"Muna British Academy, Aldar Academies",Abu Dhabi,British,English,2009,Outstanding (ADEK),51,46125,Hamdan,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/4801/al-muna-primary-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
140,"Yasmina British Academy, Aldar Academies",Abu Dhabi,British,English,2008,Outstanding (ADEK),33,54075,Khalifa City A,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/313/al-yasmina-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
141,Merryland International School,Abu Dhabi,"IGCSE, British",English,1978,Outstanding (ADEK),23,33175,"Plot 13, ME-9, MBZ City, Mussaffah",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/76360/merryland-international-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
142,Al Rabeeh School,Abu Dhabi,British,English,1979,Good (ADEK),22,32215,Hadbat Al Zafranah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/4813/al-rabeeh-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
143,"GEMS Cambridge International School, Abu Dhabi",Abu Dhabi,"GCSE, British",English,2013,Very Good (ADEK),21,31700,"Bawabat Al Sharq, Baniyas City",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112976/gems-cambridge-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
144,Abu Dhabi International School,Abu Dhabi,"IGCSE, GCSE, British, American",English,1992,Very Good (ADEK),18,38600,Al Karama Street Near Al Rowda Clinic,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/4763/abu-dhabi-international-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
145,Al Basma British School,Abu Dhabi,"UK EYFS, IGCSE, British",English,1980,Very Good (ADEK),17,32565,"Behind Deerfields Mall, Old Al Bahya",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112883/al-basma-british-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
146,"Amity International School, Abu Dhabi",Abu Dhabi,British,English,2015,Very Good (ADEK),16,53915,Al Bahya,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137364/amity-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
147,Belvedere British School,Abu Dhabi,"UK EYFS, IGCSE, GCSE, British",English,2012,Very Good (ADEK),16,29640,Mohammed Bin Zayed City Street 31,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112933/belvedere-british-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
148,ABC Private School,Abu Dhabi,British,English,2015,Good (ADEK),15,23150,Al Shamkha City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/239/abc-private-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
149,Al Shohub Private School,Abu Dhabi,British,English,1999,Good (ADEK),15,28680,Khalifa City A,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/305/al-shohub-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
150,Cranleigh Abu Dhabi School,Abu Dhabi,British,English,2014,Outstanding (ADEK),15,83845,Saadiyat Island,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/82124/cranleigh-abu-dhabi-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
151,Noya British School,Abu Dhabi,British,English,2024,Not rated / no public inspection report,15,35500,Yas Island,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/noya-british-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
152,Al Maharat Private School,Abu Dhabi,British,English,2015,Acceptable (ADEK),14,24645,"Shakbout City, Khalifa City B",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-maharat-private-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
153,Al Rabeeh Academy,Abu Dhabi,British,English,Not listed,Very Good (ADEK),14,42450,Zone 23 Mohamed Bin Zayed City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-rabeeh-academy-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
154,"Mamoura British Academy, Aldar Academies",Abu Dhabi,British,English,2006,Very Good (ADEK),14,63395,East Ring Road,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137325/al-mamoura-academy-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
155,"Pearl British Academy, Aldar Academies",Abu Dhabi,British,English,2007,Outstanding (ADEK),13,44095,Al Dhafrah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/375/pearl-primary-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
156,"Horizon Private School - Branch, Khalifa City",Abu Dhabi,American,English,2008,Good (ADEK),33,40635,20th Street Khalifa City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6186/horizon-private-school-khalifa-city/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
157,"GEMS American Academy, Abu Dhabi",Abu Dhabi,"IB, American",English,2007,Very Good (ADEK),10,67455,Khalifa City A,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/21626/gems-american-academy-abu-dhabi/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
158,Virginia International Private School,Abu Dhabi,American,English,2015,Good (ADEK),34,33360,"MFW-31, Shakhbout City",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137352/virginia-international-private-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
159,ICS Mushrif – International Community Schools,Abu Dhabi,"MOE, IB, American","Arabic/English, English",1990,Very Good (ADEK),28,38865,"24th Street, Al Mushrif Area",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6197/international-community-school-abu-dhabi/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
160,Al Dhafra Private Schools - Abu Dhabi,Abu Dhabi,American,English,1983,Very Good (ADEK),24,34725,"ME09, Mohamed Bin Zayed City",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/259/al-dhafra-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
161,"Yas American Academy, Aldar Academies",Abu Dhabi,American,English,2016,Good (ADEK),16,71970,"Yas Leisure Drive, Yas Island",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137340/west-yas-academy-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
162,Elite Private School,Abu Dhabi,American,English,1992,Good (ADEK),15,28664,"MBZ, Zone 9",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6399/elite-al-nukhba-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
163,SAMA International Schools (SIS),Abu Dhabi,"IB, American",English,2022,Not rated / no public inspection report,13,41723,"Khalifa City A, South East 44",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/italian-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
164,"Abu Dhabi International School, MBZ",Abu Dhabi,"IGCSE, IB, British, American",English,2015,Very Good (ADEK),12,36475,"Sector Z17-01, 63rd Street, MBZ City",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137367/abu-dhabi-international-school-mbz-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
165,American International School in Abu Dhabi (AISA),Abu Dhabi,"IB, American",English,1995,Very Good (ADEK),12,46425,29th street of Airport Road,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/323/american-international-school-abu-dhabi/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
166,Al Yasat Private School,Abu Dhabi,American,English,1992,Good (ADEK),11,44970,"Sector SH 10, Plot P1, Al Shamkha",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/4834/al-yasaat-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
167,Rawafed Private School,Abu Dhabi,American,English,1993,Good (ADEK),11,31045,"Khalifa City A, Street 20th",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/301/al-rawafed-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
168,"ADNOC Schools, Sas Al Nakhl",Abu Dhabi,American,English,2008,Good (ADEK),9,40505,Sas Al Nakhl,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/adnoc-schools-sas-al-nakhl-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
169,"Emirates National School, Abu Dhabi",Abu Dhabi,"IB, American",English,2002,Not rated / no public inspection report,9,38070,Al Nahyan,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6165/emirates-national-school-girls-campus/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
170,Liwa International School Al Mushrif,Abu Dhabi,American,English,2019,Good (ADEK),9,28975,22 Um Salamah St Al Mushrif,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/22370/liwa-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
171,Ajyal International School - Al Falah,Abu Dhabi,American,English,2015,Good (ADEK),8,33510,New Al Falah City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/109807/ajyal-international-school-al-falah-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
172,Al Bateen Scientific Private School,Abu Dhabi,American,English,1988,Good (ADEK),8,20370,Street 16,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/257/al-bateen-scientific-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
173,"Al Ittihad National Private School, Abu Dhabi",Abu Dhabi,American,English,2006,Very Good (ADEK),7,35030,Khalifa City A North,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/4789/al-ittihad-national-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
174,"Summit International School, Abu Dhabi",Abu Dhabi,American,English,2013,Good (ADEK),7,33135,Madinat Al Zayed,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137349/summit-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
175,American Community School of Abu Dhabi (ACS),Abu Dhabi,"IB, American",English,1972,Outstanding (ADEK),6,77793,Khalidiya Area,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/321/american-community-school-abu-dhabi/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
176,Emirates National Private School – Al Manaseer,Abu Dhabi,"IB, American",English,2002,Very Good (ADEK),6,27300,"Al Manaseer, Al Manhal",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/120531/emirates-national-private-school-al-manaseer-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
177,"Emirates Private School, Abu Dhabi",Abu Dhabi,"MOE, British, American","Arabic/English, English",1982,Good (ADEK),6,17450,"St. 29, Muroor Road",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6167/emirates-private-school-abu-dhabi/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
178,"Sharjah American International School, Abu Dhabi",Abu Dhabi,American,English,2016,Good (ADEK),6,36350,Shakhbout City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/sharjah-american-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
179,The Sheikh Zayed Private Academy for Boys (SZPAB),Abu Dhabi,"Montessori, American",English,2015,Outstanding (ADEK),6,61525,Khalidyah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137357/sheikh-zayed-private-academy-boys-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
180,"Global Indian International School, Abu Dhabi",Abu Dhabi,CBSE,Hindi/English,2015,Good (ADEK),31,11575,"Baniyas East, Behind Lulu Hypermarket",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137366/global-indian-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
181,Emirates Future International Academy,Abu Dhabi,CBSE,Hindi/English,2008,Good (ADEK),21,11940,Mussaffah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6155/emirates-future-international-academy/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
182,Abu Dhabi Indian School,Abu Dhabi,CBSE,Hindi/English,1975,Good (ADEK),20,8895,23 Muroor St,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/221/abu-dhabi-indian-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
183,"International Indian School, Abu Dhabi",Abu Dhabi,"UK EYFS, CBSE","English, Hindi/English",2016,Good (ADEK),20,14700,42 Street - Bani Yas West,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137343/international-indian-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
184,Shining Star International School Abu Dhabi,Abu Dhabi,CBSE,Hindi/English,2014,Acceptable (ADEK),20,12780,Shabiya 12 Musaffah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112905/shining-star-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
185,"Mayoor Private School, Abu Dhabi",Abu Dhabi,CBSE,Hindi/English,2014,Very Good (ADEK),15,27280,"42nd Street, Al Wathba South",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/120544/mayoor-private-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
186,Bright Riders School Abu Dhabi,Abu Dhabi,CBSE,Hindi/English,2013,Very Good (ADEK),14,15805,Mohammed Bin Zayed City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112890/bright-riders-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
187,"GEMS United Indian School, Abu Dhabi",Abu Dhabi,CBSE,Hindi/English,1990,Good (ADEK),12,15560,"Baniyas West, 42 St.",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/137385/gems-united-indian-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
188,"The Model School, Abu Dhabi",Abu Dhabi,CBSE,Hindi/English,1987,Acceptable (ADEK),12,5610,"ME12, Musaffah",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112908/the-model-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
189,"Abu Dhabi Indian School, Al Wathba",Abu Dhabi,CBSE,Hindi/English,2014,Very Good (ADEK),11,11378,Al Wathba,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112880/abu-dhabi-indian-school-al-wathba-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
190,"Ryan International School, Masdar",Abu Dhabi,"IGCSE, IB, CBSE","English, Hindi/English",2015,Acceptable (ADEK),11,18520,"City Plot No A-02 & A-03, Near Khazna Data Center",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6195/ryan-international-school-masdar-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
191,Private International English School,Abu Dhabi,CBSE,Hindi/English,2010,Very Good (ADEK),9,14100,"Mussafah, Sector 9, Shabiya",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/112899/private-international-english-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
192,Dunes International School,Abu Dhabi,CBSE,Hindi/English,2017,Good (ADEK),7,17150,"Plot no. 19 Sector 9, Mussafah",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/dunes-international-school-abu-dhabi-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
193,Sunrise English Private School,Abu Dhabi,CBSE,Hindi/English,1988,Good (ADEK),6,10440,"ME-9 Shabhiya, Mussafah",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/401/sunrise-english-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
194,Saint Joseph's School,Abu Dhabi,CBSE,Hindi/English,1967,Very Good (ADEK),3,9055,17th Street,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6375/saint-josephs-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
195,Asian International Private School - Madinat Zayed,Abu Dhabi,CBSE,Hindi/English,1987,Good (ADEK),2,6065,Zayed City,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/6427/asian-international-zayed-city/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
196,Asian International Private School (Ruwais),Abu Dhabi,CBSE,Hindi/English,1988,Good (ADEK),2,8015,"Ruwais Housing Complex, Western Zone",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/327/asian-international-private-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
